20161122:11363667 |[UPDATE][pNIC1] pNIC_Latency(533) 

20161122:11363667 |[UPDATE][pNIC1] pNIC_Latency(532) 

20161122:11363667 |[UPDATE][pNIC1] pNIC_Latency(531) 

20161122:11363667 |[UPDATE][pNIC1] pNIC_Latency(533) 

20161122:11363667 |[UPDATE][pNIC1] pNIC_Latency(531) 

20161122:11363667 |[UPDATE][pNIC1] pNIC_Latency(533) 

20161122:11363667 |[UPDATE][pNIC1] pNIC_Latency(532) 

20161122:11363667 |[UPDATE][pNIC1] pNIC_Latency(530) 

20161122:11363670 |[UPDATE][pNIC2] pNIC_Latency(533) 

20161122:11363670 |[UPDATE][pNIC2] pNIC_Latency(532) 

20161122:11363670 |[UPDATE][pNIC2] pNIC_Latency(531) 

20161122:11363670 |[UPDATE][pNIC2] pNIC_Latency(533) 

20161122:11363670 |[UPDATE][pNIC2] pNIC_Latency(531) 

20161122:11363670 |[UPDATE][pNIC2] pNIC_Latency(533) 

20161122:11363670 |[UPDATE][pNIC2] pNIC_Latency(532) 

20161122:11363670 |[UPDATE][pNIC2] pNIC_Latency(530) 

20161122:11363670 |[UPDATE][pNIC2] pNIC_Latency(531) 

20161122:11363674 |[UPDATE][pNIC3] pNIC_Latency(533) 

20161122:11363674 |[UPDATE][pNIC3] pNIC_Latency(532) 

20161122:11363674 |[UPDATE][pNIC3] pNIC_Latency(531) 

20161122:11363674 |[UPDATE][pNIC3] pNIC_Latency(533) 

20161122:11363674 |[UPDATE][pNIC3] pNIC_Latency(531) 

20161122:11363674 |[UPDATE][pNIC3] pNIC_Latency(533) 

20161122:11363674 |[UPDATE][pNIC3] pNIC_Latency(532) 

20161122:11363674 |[UPDATE][pNIC3] pNIC_Latency(530) 

20161122:11363674 |[UPDATE][pNIC3] pNIC_Latency(531) 

20161122:11363677 |[UPDATE][pNIC4] pNIC_Latency(533) 

20161122:11363677 |[UPDATE][pNIC4] pNIC_Latency(532) 

20161122:11363677 |[UPDATE][pNIC4] pNIC_Latency(531) 

20161122:11373667 |[UPDATE][pNIC1] pNIC_Latency(531) 

20161122:11373667 |[UPDATE][pNIC1] pNIC_Latency(531) 

20161122:11373667 |[UPDATE][pNIC1] pNIC_Latency(532) 

20161122:11373667 |[UPDATE][pNIC1] pNIC_Latency(533) 

20161122:11373667 |[UPDATE][pNIC1] pNIC_Latency(532) 

20161122:11373667 |[UPDATE][pNIC1] pNIC_Latency(533) 

20161122:11373667 |[UPDATE][pNIC1] pNIC_Latency(533) 

20161122:11373667 |[UPDATE][pNIC1] pNIC_Latency(532) 

20161122:11373670 |[UPDATE][pNIC2] pNIC_Latency(531) 

20161122:11373670 |[UPDATE][pNIC2] pNIC_Latency(532) 

20161122:11373670 |[UPDATE][pNIC2] pNIC_Latency(533) 

20161122:11373670 |[UPDATE][pNIC2] pNIC_Latency(532) 

20161122:11373670 |[UPDATE][pNIC2] pNIC_Latency(533) 

20161122:11373670 |[UPDATE][pNIC2] pNIC_Latency(533) 

20161122:11373670 |[UPDATE][pNIC2] pNIC_Latency(532) 

20161122:11373670 |[UPDATE][pNIC2] pNIC_Latency(530) 

20161122:11373670 |[UPDATE][pNIC2] pNIC_Latency(532) 

20161122:11373674 |[UPDATE][pNIC3] pNIC_Latency(531) 

20161122:11373674 |[UPDATE][pNIC3] pNIC_Latency(532) 

20161122:11373674 |[UPDATE][pNIC3] pNIC_Latency(533) 

20161122:11373674 |[UPDATE][pNIC3] pNIC_Latency(532) 

20161122:11373674 |[UPDATE][pNIC3] pNIC_Latency(533) 

20161122:11373674 |[UPDATE][pNIC3] pNIC_Latency(533) 

20161122:11373674 |[UPDATE][pNIC3] pNIC_Latency(532) 

20161122:11373674 |[UPDATE][pNIC3] pNIC_Latency(530) 

20161122:11373674 |[UPDATE][pNIC3] pNIC_Latency(532) 

20161122:11373677 |[UPDATE][pNIC4] pNIC_Latency(533) 

20161122:11373677 |[UPDATE][pNIC4] pNIC_Latency(531) 

20161122:11373677 |[UPDATE][pNIC4] pNIC_Latency(533) 

20161122:11383667 |[UPDATE][pNIC1] pNIC_Latency(530) 

20161122:11383667 |[UPDATE][pNIC1] pNIC_Latency(532) 

20161122:11383667 |[UPDATE][pNIC1] pNIC_Latency(530) 

20161122:11383667 |[UPDATE][pNIC1] pNIC_Latency(530) 

