20161122:11363681 |[UPDATE][pSwitch1] pSwitch_Latency(13) 

20161122:11363681 |[UPDATE][pSwitch1] pSwitch_Latency(12) 

20161122:11363681 |[UPDATE][pSwitch1] pSwitch_Latency(11) 

20161122:11363681 |[UPDATE][pSwitch1] pSwitch_Latency(13) 

20161122:11363681 |[UPDATE][pSwitch1] pSwitch_Latency(11) 

20161122:11363681 |[UPDATE][pSwitch1] pSwitch_Latency(13) 

20161122:11363681 |[UPDATE][pSwitch1] pSwitch_Latency(12) 

20161122:11363681 |[UPDATE][pSwitch1] pSwitch_Latency(10) 

20161122:11363681 |[UPDATE][pSwitch1] pSwitch_Latency(11) 

20161122:11363681 |[UPDATE][pSwitch1] pSwitch_Latency(11) 

20161122:11363681 |[UPDATE][pSwitch1] pSwitch_Latency(12) 

20161122:11363681 |[UPDATE][pSwitch1] pSwitch_Latency(13) 

20161122:11363681 |[UPDATE][pSwitch1] pSwitch_Latency(12) 

20161122:11363681 |[UPDATE][pSwitch1] pSwitch_Latency(13) 

20161122:11363681 |[UPDATE][pSwitch1] pSwitch_Latency(13) 

20161122:11363681 |[UPDATE][pSwitch1] pSwitch_Latency(12) 

20161122:11363681 |[UPDATE][pSwitch1] pSwitch_Latency(10) 

20161122:11363683 |[UPDATE][pSwitch2] pSwitch_Latency(13) 

20161122:11363683 |[UPDATE][pSwitch2] pSwitch_Latency(12) 

20161122:11363683 |[UPDATE][pSwitch2] pSwitch_Latency(11) 

20161122:11363683 |[UPDATE][pSwitch2] pSwitch_Latency(13) 

20161122:11363683 |[UPDATE][pSwitch2] pSwitch_Latency(11) 

20161122:11363683 |[UPDATE][pSwitch2] pSwitch_Latency(13) 

20161122:11363683 |[UPDATE][pSwitch2] pSwitch_Latency(12) 

20161122:11363683 |[UPDATE][pSwitch2] pSwitch_Latency(10) 

20161122:11363683 |[UPDATE][pSwitch2] pSwitch_Latency(11) 

20161122:11363683 |[UPDATE][pSwitch2] pSwitch_Latency(11) 

20161122:11363683 |[UPDATE][pSwitch2] pSwitch_Latency(12) 

20161122:11363683 |[UPDATE][pSwitch2] pSwitch_Latency(13) 

20161122:11373681 |[UPDATE][pSwitch1] pSwitch_Latency(12) 

20161122:11373681 |[UPDATE][pSwitch1] pSwitch_Latency(10) 

20161122:11373681 |[UPDATE][pSwitch1] pSwitch_Latency(10) 

20161122:11373681 |[UPDATE][pSwitch1] pSwitch_Latency(13) 

20161122:11373681 |[UPDATE][pSwitch1] pSwitch_Latency(10) 

20161122:11373681 |[UPDATE][pSwitch1] pSwitch_Latency(13) 

20161122:11373681 |[UPDATE][pSwitch1] pSwitch_Latency(11) 

20161122:11373681 |[UPDATE][pSwitch1] pSwitch_Latency(12) 

20161122:11373681 |[UPDATE][pSwitch1] pSwitch_Latency(12) 

20161122:11373681 |[UPDATE][pSwitch1] pSwitch_Latency(12) 

20161122:11373681 |[UPDATE][pSwitch1] pSwitch_Latency(13) 

20161122:11373681 |[UPDATE][pSwitch1] pSwitch_Latency(13) 

20161122:11373681 |[UPDATE][pSwitch1] pSwitch_Latency(13) 

20161122:11373681 |[UPDATE][pSwitch1] pSwitch_Latency(11) 

20161122:11373681 |[UPDATE][pSwitch1] pSwitch_Latency(12) 

20161122:11373681 |[UPDATE][pSwitch1] pSwitch_Latency(12) 

20161122:11373681 |[UPDATE][pSwitch1] pSwitch_Latency(12) 

20161122:11373683 |[UPDATE][pSwitch2] pSwitch_Latency(12) 

20161122:11373683 |[UPDATE][pSwitch2] pSwitch_Latency(13) 

20161122:11373683 |[UPDATE][pSwitch2] pSwitch_Latency(13) 

20161122:11373683 |[UPDATE][pSwitch2] pSwitch_Latency(12) 

20161122:11373683 |[UPDATE][pSwitch2] pSwitch_Latency(10) 

20161122:11373683 |[UPDATE][pSwitch2] pSwitch_Latency(12) 

20161122:11373683 |[UPDATE][pSwitch2] pSwitch_Latency(10) 

20161122:11373683 |[UPDATE][pSwitch2] pSwitch_Latency(10) 

20161122:11373683 |[UPDATE][pSwitch2] pSwitch_Latency(13) 

20161122:11373683 |[UPDATE][pSwitch2] pSwitch_Latency(10) 

20161122:11373683 |[UPDATE][pSwitch2] pSwitch_Latency(13) 

20161122:11373683 |[UPDATE][pSwitch2] pSwitch_Latency(11) 

20161122:11383681 |[UPDATE][pSwitch1] pSwitch_Latency(11) 

20161122:11383681 |[UPDATE][pSwitch1] pSwitch_Latency(13) 

20161122:11383681 |[UPDATE][pSwitch1] pSwitch_Latency(11) 

20161122:11383681 |[UPDATE][pSwitch1] pSwitch_Latency(10) 

20161122:11383681 |[UPDATE][pSwitch1] pSwitch_Latency(13) 

20161122:11383681 |[UPDATE][pSwitch1] pSwitch_Latency(12) 

20161122:11383681 |[UPDATE][pSwitch1] pSwitch_Latency(11) 

20161122:11383681 |[UPDATE][pSwitch1] pSwitch_Latency(11) 

20161122:11383681 |[UPDATE][pSwitch1] pSwitch_Latency(11) 

20161122:11383681 |[UPDATE][pSwitch1] pSwitch_Latency(13) 

20161122:11383681 |[UPDATE][pSwitch1] pSwitch_Latency(10) 

20161122:11383681 |[UPDATE][pSwitch1] pSwitch_Latency(11) 

20161122:11383681 |[UPDATE][pSwitch1] pSwitch_Latency(12) 

20161122:11383681 |[UPDATE][pSwitch1] pSwitch_Latency(10) 

20161122:11383681 |[UPDATE][pSwitch1] pSwitch_Latency(13) 

20161122:11383681 |[UPDATE][pSwitch1] pSwitch_Latency(12) 

20161122:11383681 |[UPDATE][pSwitch1] pSwitch_Latency(11) 

20161122:11383683 |[UPDATE][pSwitch2] pSwitch_Latency(12) 

20161122:11383683 |[UPDATE][pSwitch2] pSwitch_Latency(12) 

20161122:11383683 |[UPDATE][pSwitch2] pSwitch_Latency(12) 

20161122:11383683 |[UPDATE][pSwitch2] pSwitch_Latency(13) 

20161122:11383683 |[UPDATE][pSwitch2] pSwitch_Latency(13) 

20161122:11383683 |[UPDATE][pSwitch2] pSwitch_Latency(13) 

20161122:11383683 |[UPDATE][pSwitch2] pSwitch_Latency(11) 

20161122:11383683 |[UPDATE][pSwitch2] pSwitch_Latency(12) 

20161122:11383683 |[UPDATE][pSwitch2] pSwitch_Latency(12) 

20161122:11383683 |[UPDATE][pSwitch2] pSwitch_Latency(12) 

20161122:11383683 |[UPDATE][pSwitch2] pSwitch_Latency(11) 

20161122:11383683 |[UPDATE][pSwitch2] pSwitch_Latency(13) 

20161122:11393681 |[UPDATE][pSwitch1] pSwitch_Latency(12) 

20161122:11393681 |[UPDATE][pSwitch1] pSwitch_Latency(13) 

20161122:11393681 |[UPDATE][pSwitch1] pSwitch_Latency(10) 

20161122:11393681 |[UPDATE][pSwitch1] pSwitch_Latency(10) 

20161122:11393681 |[UPDATE][pSwitch1] pSwitch_Latency(11) 

20161122:11393681 |[UPDATE][pSwitch1] pSwitch_Latency(12) 

20161122:11393681 |[UPDATE][pSwitch1] pSwitch_Latency(12) 

20161122:11393681 |[UPDATE][pSwitch1] pSwitch_Latency(10) 

20161122:11393681 |[UPDATE][pSwitch1] pSwitch_Latency(11) 

20161122:11393681 |[UPDATE][pSwitch1] pSwitch_Latency(11) 

20161122:11393681 |[UPDATE][pSwitch1] pSwitch_Latency(11) 

20161122:11393681 |[UPDATE][pSwitch1] pSwitch_Latency(10) 

20161122:11393681 |[UPDATE][pSwitch1] pSwitch_Latency(13) 

20161122:11393681 |[UPDATE][pSwitch1] pSwitch_Latency(10) 

20161122:11393681 |[UPDATE][pSwitch1] pSwitch_Latency(11) 

20161122:11393681 |[UPDATE][pSwitch1] pSwitch_Latency(12) 

20161122:11393681 |[UPDATE][pSwitch1] pSwitch_Latency(11) 

20161122:11393684 |[UPDATE][pSwitch2] pSwitch_Latency(11) 

