20161122:11363642 |[UPDATE][vSwitch1] vSwitch_Latency(23) 

20161122:11363642 |[UPDATE][vSwitch1] vSwitch_Latency(22) 

20161122:11363644 |[UPDATE][vSwitch2] vSwitch_Latency(23) 

20161122:11363644 |[UPDATE][vSwitch2] vSwitch_Latency(22) 

20161122:11363644 |[UPDATE][vSwitch2] vSwitch_Latency(21) 

20161122:11363646 |[UPDATE][vSwitch3] vSwitch_Latency(23) 

20161122:11363646 |[UPDATE][vSwitch3] vSwitch_Latency(22) 

20161122:11363646 |[UPDATE][vSwitch3] vSwitch_Latency(21) 

20161122:11363647 |[UPDATE][vSwitch4] vSwitch_Latency(23) 

20161122:11363647 |[UPDATE][vSwitch4] vSwitch_Latency(22) 

20161122:11363647 |[UPDATE][vSwitch4] vSwitch_Latency(21) 

20161122:11363649 |[UPDATE][vSwitch5] vSwitch_Latency(23) 

20161122:11363649 |[UPDATE][vSwitch5] vSwitch_Latency(22) 

20161122:11363649 |[UPDATE][vSwitch5] vSwitch_Latency(21) 

20161122:11363652 |[UPDATE][vSwitch6] vSwitch_Latency(23) 

20161122:11363652 |[UPDATE][vSwitch6] vSwitch_Latency(22) 

20161122:11363652 |[UPDATE][vSwitch6] vSwitch_Latency(21) 

20161122:11363653 |[UPDATE][vSwitch7] vSwitch_Latency(23) 

20161122:11363653 |[UPDATE][vSwitch7] vSwitch_Latency(22) 

20161122:11363653 |[UPDATE][vSwitch7] vSwitch_Latency(21) 

20161122:11363655 |[UPDATE][vSwitch8] vSwitch_Latency(23) 

20161122:11363655 |[UPDATE][vSwitch8] vSwitch_Latency(22) 

20161122:11363655 |[UPDATE][vSwitch8] vSwitch_Latency(21) 

20161122:11363659 |[UPDATE][vSwitch9] vSwitch_Latency(23) 

20161122:11363659 |[UPDATE][vSwitch9] vSwitch_Latency(22) 

20161122:11363659 |[UPDATE][vSwitch9] vSwitch_Latency(21) 

20161122:11363663 |[UPDATE][vSwitch10] vSwitch_Latency(23) 

20161122:11363663 |[UPDATE][vSwitch10] vSwitch_Latency(22) 

20161122:11363663 |[UPDATE][vSwitch10] vSwitch_Latency(21) 

20161122:11373642 |[UPDATE][vSwitch1] vSwitch_Latency(21) 

20161122:11373642 |[UPDATE][vSwitch1] vSwitch_Latency(23) 

20161122:11373644 |[UPDATE][vSwitch2] vSwitch_Latency(23) 

20161122:11373644 |[UPDATE][vSwitch2] vSwitch_Latency(21) 

20161122:11373644 |[UPDATE][vSwitch2] vSwitch_Latency(23) 

20161122:11373646 |[UPDATE][vSwitch3] vSwitch_Latency(23) 

20161122:11373646 |[UPDATE][vSwitch3] vSwitch_Latency(21) 

20161122:11373646 |[UPDATE][vSwitch3] vSwitch_Latency(23) 

20161122:11373647 |[UPDATE][vSwitch4] vSwitch_Latency(23) 

20161122:11373647 |[UPDATE][vSwitch4] vSwitch_Latency(21) 

20161122:11373647 |[UPDATE][vSwitch4] vSwitch_Latency(23) 

20161122:11373649 |[UPDATE][vSwitch5] vSwitch_Latency(23) 

20161122:11373649 |[UPDATE][vSwitch5] vSwitch_Latency(21) 

20161122:11373649 |[UPDATE][vSwitch5] vSwitch_Latency(23) 

20161122:11373652 |[UPDATE][vSwitch6] vSwitch_Latency(23) 

20161122:11373652 |[UPDATE][vSwitch6] vSwitch_Latency(21) 

20161122:11373652 |[UPDATE][vSwitch6] vSwitch_Latency(23) 

20161122:11373653 |[UPDATE][vSwitch7] vSwitch_Latency(23) 

20161122:11373653 |[UPDATE][vSwitch7] vSwitch_Latency(21) 

20161122:11373653 |[UPDATE][vSwitch7] vSwitch_Latency(23) 

20161122:11373655 |[UPDATE][vSwitch8] vSwitch_Latency(23) 

20161122:11373655 |[UPDATE][vSwitch8] vSwitch_Latency(21) 

20161122:11373655 |[UPDATE][vSwitch8] vSwitch_Latency(23) 

20161122:11373659 |[UPDATE][vSwitch9] vSwitch_Latency(23) 

20161122:11373659 |[UPDATE][vSwitch9] vSwitch_Latency(21) 

20161122:11373659 |[UPDATE][vSwitch9] vSwitch_Latency(23) 

20161122:11373663 |[UPDATE][vSwitch10] vSwitch_Latency(23) 

20161122:11373663 |[UPDATE][vSwitch10] vSwitch_Latency(21) 

20161122:11373663 |[UPDATE][vSwitch10] vSwitch_Latency(23) 

20161122:11383643 |[UPDATE][vSwitch1] vSwitch_Latency(21) 

20161122:11383643 |[UPDATE][vSwitch1] vSwitch_Latency(23) 

20161122:11383644 |[UPDATE][vSwitch2] vSwitch_Latency(22) 

20161122:11383644 |[UPDATE][vSwitch2] vSwitch_Latency(20) 

20161122:11383644 |[UPDATE][vSwitch2] vSwitch_Latency(21) 

20161122:11383646 |[UPDATE][vSwitch3] vSwitch_Latency(22) 

20161122:11383646 |[UPDATE][vSwitch3] vSwitch_Latency(20) 

20161122:11383646 |[UPDATE][vSwitch3] vSwitch_Latency(21) 

20161122:11383647 |[UPDATE][vSwitch4] vSwitch_Latency(22) 

20161122:11383647 |[UPDATE][vSwitch4] vSwitch_Latency(20) 

20161122:11383647 |[UPDATE][vSwitch4] vSwitch_Latency(21) 

20161122:11383649 |[UPDATE][vSwitch5] vSwitch_Latency(22) 

20161122:11383649 |[UPDATE][vSwitch5] vSwitch_Latency(20) 

20161122:11383649 |[UPDATE][vSwitch5] vSwitch_Latency(21) 

20161122:11383652 |[UPDATE][vSwitch6] vSwitch_Latency(22) 

20161122:11383652 |[UPDATE][vSwitch6] vSwitch_Latency(20) 

20161122:11383652 |[UPDATE][vSwitch6] vSwitch_Latency(21) 

20161122:11383653 |[UPDATE][vSwitch7] vSwitch_Latency(22) 

20161122:11383653 |[UPDATE][vSwitch7] vSwitch_Latency(20) 

20161122:11383653 |[UPDATE][vSwitch7] vSwitch_Latency(21) 

20161122:11383655 |[UPDATE][vSwitch8] vSwitch_Latency(22) 

20161122:11383655 |[UPDATE][vSwitch8] vSwitch_Latency(20) 

20161122:11383655 |[UPDATE][vSwitch8] vSwitch_Latency(21) 

20161122:11383659 |[UPDATE][vSwitch9] vSwitch_Latency(22) 

20161122:11383659 |[UPDATE][vSwitch9] vSwitch_Latency(20) 

20161122:11383659 |[UPDATE][vSwitch9] vSwitch_Latency(21) 

20161122:11383663 |[UPDATE][vSwitch10] vSwitch_Latency(22) 

20161122:11383663 |[UPDATE][vSwitch10] vSwitch_Latency(20) 

20161122:11383663 |[UPDATE][vSwitch10] vSwitch_Latency(21) 

20161122:11393643 |[UPDATE][vSwitch1] vSwitch_Latency(22) 

20161122:11393643 |[UPDATE][vSwitch1] vSwitch_Latency(20) 

